2022/06/17 18:11:51,189699  |INFO| CRUD - Warning: 0
2022/06/17 18:11:51,189699  |WARNING| CRUD - Function works
2022/06/17 18:11:51,189699  |ERROR| CRUD - Query: 1
2022/06/17 18:11:51,189699  |CRITICAL| CRUD - SELECT

2022/06/17 18:11:51,192640  |INFO| CRUD - Warning: 0
2022/06/17 18:11:51,192640  |WARNING| CRUD - Function works
2022/06/17 18:11:51,192640  |ERROR| CRUD - Query: 1
2022/06/17 18:11:51,192640  |CRITICAL| CRUD - INSERT INTO

2022/06/17 18:11:51,193577  |INFO| CRUD - Warning: 0
2022/06/17 18:11:51,193577  |WARNING| CRUD - Function works
2022/06/17 18:11:51,193577  |ERROR| CRUD - Query: 1
2022/06/17 18:11:51,193577  |CRITICAL| CRUD - SELECT

2022/06/17 18:11:51,194608  |INFO| CRUD - Warning: 0
2022/06/17 18:11:51,194608  |WARNING| CRUD - Function works
2022/06/17 18:11:51,194608  |ERROR| CRUD - Query: 1
2022/06/17 18:11:51,194608  |CRITICAL| CRUD - UPDATE

2022/06/17 18:11:51,199894  |INFO| CRUD - Warning: 0
2022/06/17 18:11:51,199894  |WARNING| CRUD - Function works
2022/06/17 18:11:51,199894  |ERROR| CRUD - Query: 1
2022/06/17 18:11:51,199894  |CRITICAL| CRUD - SELECT

2022/06/17 18:11:51,200839  |INFO| CRUD - Warning: 0
2022/06/17 18:11:51,200839  |WARNING| CRUD - Function works
2022/06/17 18:11:51,200839  |ERROR| CRUD - Query: 1
2022/06/17 18:11:51,200839  |CRITICAL| CRUD - DELETE

2022/06/17 18:11:51,201601  |INFO| CRUD - Warning: 0
2022/06/17 18:11:51,201601  |WARNING| CRUD - Function works
2022/06/17 18:11:51,201601  |ERROR| CRUD - Query: 1
2022/06/17 18:11:51,201601  |CRITICAL| CRUD - SELECT

2022/06/17 18:12:23,727326  |INFO| CRUD - Warning: 0
2022/06/17 18:12:23,727326  |WARNING| CRUD - Function works
2022/06/17 18:12:23,727326  |ERROR| CRUD - Query: 1
2022/06/17 18:12:23,727326  |CRITICAL| CRUD - SELECT

2022/06/17 18:12:23,733164  |INFO| CRUD - Warning: 0
2022/06/17 18:12:23,733164  |WARNING| CRUD - Function works
2022/06/17 18:12:23,733164  |ERROR| CRUD - Query: 1
2022/06/17 18:12:23,733164  |CRITICAL| CRUD - INSERT INTO

2022/06/17 18:12:23,734180  |INFO| CRUD - Warning: 0
2022/06/17 18:12:23,734180  |WARNING| CRUD - Function works
